domain,_original_idx,TEXT,text_length_old,word_count_old,elongation_old,ironie_old,insulte_old,mépris / haine_old,argot_old,abréviation_old,interjection_old,ROLE_old,HATE_old,TARGET_old,VERBAL_ABUSE_old,INTENTION_old,CONTEXT_old,SENTIMENT_old,Colère_old,Dégoût_old,Joie_old,Peur_old,Surprise_old,Tristesse_old,Admiration_old,Culpabilité_old,Embarras_old,Fierté_old,Jalousie_old,Autre_old,pred_Colère_old,pred_Dégoût_old,pred_Joie_old,pred_Peur_old,pred_Surprise_old,pred_Tristesse_old,pred_Admiration_old,pred_Culpabilité_old,pred_Embarras_old,pred_Fierté_old,pred_Jalousie_old,pred_Autre_old,proba_Colère_old,proba_Dégoût_old,proba_Joie_old,proba_Peur_old,proba_Surprise_old,proba_Tristesse_old,proba_Admiration_old,proba_Culpabilité_old,proba_Embarras_old,proba_Fierté_old,proba_Jalousie_old,proba_Autre_old,err_Colère_old,err_Dégoût_old,err_Joie_old,err_Peur_old,err_Surprise_old,err_Tristesse_old,err_Admiration_old,err_Culpabilité_old,err_Embarras_old,err_Fierté_old,err_Jalousie_old,err_Autre_old,n_errors_12_old,hamming_12_old,jaccard_error_12_old,weighted_hamming_12_old,error_category_old,emotion_density_12_old,mode_density_4_old,label_density_19_old,text_length_new,word_count_new,elongation_new,ironie_new,insulte_new,mépris / haine_new,argot_new,abréviation_new,interjection_new,ROLE_new,HATE_new,TARGET_new,VERBAL_ABUSE_new,INTENTION_new,CONTEXT_new,SENTIMENT_new,Colère_new,Dégoût_new,Joie_new,Peur_new,Surprise_new,Tristesse_new,Admiration_new,Culpabilité_new,Embarras_new,Fierté_new,Jalousie_new,Autre_new,pred_Colère_new,pred_Dégoût_new,pred_Joie_new,pred_Peur_new,pred_Surprise_new,pred_Tristesse_new,pred_Admiration_new,pred_Culpabilité_new,pred_Embarras_new,pred_Fierté_new,pred_Jalousie_new,pred_Autre_new,proba_Colère_new,proba_Dégoût_new,proba_Joie_new,proba_Peur_new,proba_Surprise_new,proba_Tristesse_new,proba_Admiration_new,proba_Culpabilité_new,proba_Embarras_new,proba_Fierté_new,proba_Jalousie_new,proba_Autre_new,err_Colère_new,err_Dégoût_new,err_Joie_new,err_Peur_new,err_Surprise_new,err_Tristesse_new,err_Admiration_new,err_Culpabilité_new,err_Embarras_new,err_Fierté_new,err_Jalousie_new,err_Autre_new,n_errors_12_new,hamming_12_new,jaccard_error_12_new,weighted_hamming_12_new,error_category_new,emotion_density_12_new,mode_density_4_new,label_density_19_new
Homophobie,0,Alors julie t'ai dégeulasse de sortir avec une gadji bande de salopes,69,12,0,0,1,1,1,0,0,bully,OAG,victim,DNG,AIN,,NEG,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9716546,0.019218767,0.007433486,0.0007198794,0.00030683665,0.0029528332,4.0448045e-05,0.00089213264,0.006112918,0.0006812246,0.00022107824,0.09429036,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,0.5,0.0114918320056999,low_error,2,1,5,69,12,0,0,1,1,1,0,0,bully,OAG,victim,DNG,AIN,,NEG,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9716546,0.019218767,0.007433486,0.0007198794,0.00030683665,0.0029528332,4.0448045e-05,0.00089213264,0.006112918,0.0006812246,0.00022107824,0.09429036,FP,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.1666666666666666,1.0,0.0154369123237308,medium_error,1,2,5
Homophobie,16,ftg grosse salope,17,3,0,0,1,1,1,1,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3916391e-05,2.0879463e-06,1.2642199e-05,1.4859567e-05,3.303071e-05,1.1380679e-05,6.5983068e-06,4.902785e-07,3.2453744e-07,1.8141071e-06,7.3453386e-08,3.2445863e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0,17,3,0,0,1,1,1,1,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3916391e-05,2.0879463e-06,1.2642199e-05,1.4859567e-05,3.303071e-05,1.1380679e-05,6.5983068e-06,4.902785e-07,3.2453744e-07,1.8141071e-06,7.3453386e-08,3.2445863e-05,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.0033377107726985,low_error,1,1,4
Homophobie,33,cul de crasseuse,16,3,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,DFN,NEG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5586274e-05,3.2328007e-06,2.017684e-05,1.7459313e-05,4.2879263e-05,1.8563976e-05,8.138645e-06,7.976954e-07,5.3754303e-07,2.785484e-06,1.2310645e-07,3.7468635e-05,FN,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.1666666666666666,1.0,0.0142737164105379,medium_error,2,1,5,16,3,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,DFN,NEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5586274e-05,3.2328007e-06,2.017684e-05,1.7459313e-05,4.2879263e-05,1.8563976e-05,8.138645e-06,7.976954e-07,5.3754303e-07,2.785484e-06,1.2310645e-07,3.7468635e-05,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.0120992015510323,low_error,1,1,4
Homophobie,34,on fait ce qu'on veut grosse chienne,36,7,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,DFN,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00032425064,5.1751264e-05,0.00016391296,0.00013362244,0.000116359115,0.00010252975,8.048574e-05,3.7858376e-06,2.0152876e-05,8.0735235e-06,1.126297e-06,0.9994561,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,1,0.0833333333333333,1.0,0.0158248178439146,low_error,0,0,0,36,7,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,DFN,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00032425064,5.1751264e-05,0.00016391296,0.00013362244,0.000116359115,0.00010252975,8.048574e-05,3.7858376e-06,2.0152876e-05,8.0735235e-06,1.126297e-06,0.9994561,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,2,0.1666666666666666,1.0,0.0189495837417725,medium_error,1,1,4
Homophobie,39,on dit que la vérité grosse pute,32,7,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,GSL,DFN,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3586609e-05,1.8185742e-06,1.1365656e-05,1.4473798e-05,2.9347704e-05,1.1625122e-05,5.260957e-06,4.2095786e-07,2.8814162e-07,1.4836506e-06,6.021173e-08,2.6965496e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0,32,7,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,GSL,DFN,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3586609e-05,1.8185742e-06,1.1365656e-05,1.4473798e-05,2.9347704e-05,1.1625122e-05,5.260957e-06,4.2095786e-07,2.8814162e-07,1.4836506e-06,6.021173e-08,2.6965496e-05,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.0033377107726985,low_error,1,1,4
Homophobie,40,chienne que tes ont aimes pas les lesbienne ici,47,9,0,0,1,1,0,0,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00046102892,5.938418e-05,0.00016955927,0.00011916714,0.0001287364,8.8582165e-05,7.2093564e-05,3.9906486e-06,2.0162683e-05,8.723795e-06,1.2230945e-06,0.9994355,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,1,0.0833333333333333,1.0,0.0158248178439146,low_error,0,0,0,47,9,0,0,1,1,0,0,0,bully_support,OAG,victim,OTH,ATK,DFN,NEG,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.00046102892,5.938418e-05,0.00016955927,0.00011916714,0.0001287364,8.8582165e-05,7.2093564e-05,3.9906486e-06,2.0162683e-05,8.723795e-06,1.2230945e-06,0.9994355,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,0.5,0.0120992015510323,low_error,2,1,5
Homophobie,41,bref venais on les vire de la classe c'est grosse crasseuse,59,11,0,0,1,1,0,0,0,bully,OAG,victim,OTH,ATK,,NEG,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.67025644,0.07404312,0.0030467007,0.005706573,0.00018224632,0.054373827,0.00021704324,0.012930206,0.36346886,0.004742667,0.0014647542,0.20328896,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,0.5,0.0114918320056999,low_error,2,1,5,59,11,0,0,1,1,0,0,0,bully,OAG,victim,OTH,ATK,,NEG,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.67025644,0.07404312,0.0030467007,0.005706573,0.00018224632,0.054373827,0.00021704324,0.012930206,0.36346886,0.004742667,0.0014647542,0.20328896,FP,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.1666666666666666,1.0,0.0154369123237308,medium_error,1,1,4
Homophobie,44,on veut pas de sa ici,21,6,0,0,0,1,0,0,0,bully_support,OAG,victim,OTH,AIN,ATK,NEG,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.9967153,0.0011751715,0.0012247774,0.0004725737,0.00029329397,0.0006900017,2.7222426e-05,4.3028573e-05,0.000270803,5.945081e-05,1.1445003e-05,0.52523595,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,2,0.1666666666666666,0.6666666666666667,0.0273166498496146,medium_error,2,1,5,21,6,0,0,0,1,0,0,0,bully_support,OAG,victim,OTH,AIN,ATK,NEG,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.9967153,0.0011751715,0.0012247774,0.0004725737,0.00029329397,0.0006900017,2.7222426e-05,4.3028573e-05,0.000270803,5.945081e-05,1.1445003e-05,0.52523595,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,1,0.0833333333333333,0.5,0.0156118729690739,low_error,1,1,4
Homophobie,45,grave pas de crasseuse,22,4,0,0,1,1,1,0,0,bully_support,OAG,victim,OTH,AIN,AIN,NEG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9349834e-05,3.0608677e-05,9.195881e-05,3.3290937e-05,5.4353648e-05,8.6660555e-05,3.1815805e-05,7.400573e-06,9.506691e-06,1.6575594e-05,1.1991152e-06,0.0021111642,FN,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.1666666666666666,1.0,0.0142737164105379,medium_error,2,1,5,22,4,0,0,1,1,1,0,0,bully_support,OAG,victim,OTH,AIN,AIN,NEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9349834e-05,3.0608677e-05,9.195881e-05,3.3290937e-05,5.4353648e-05,8.6660555e-05,3.1815805e-05,7.400573e-06,9.506691e-06,1.6575594e-05,1.1991152e-06,0.0021111642,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.0120992015510323,low_error,1,1,4
Homophobie,48,burk bande de chienne,21,4,0,0,1,1,0,0,1,bully_support,OAG,victim,NCG,ATK,,NEG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3429731e-05,1.5756025e-06,1.06662865e-05,1.3769262e-05,2.9787201e-05,1.0357118e-05,4.68735e-06,3.6067266e-07,2.4806005e-07,1.2531231e-06,5.104862e-08,2.1708162e-05,FN,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.1666666666666666,1.0,0.0142737164105379,medium_error,2,1,5,21,4,0,0,1,1,0,0,1,bully_support,OAG,victim,NCG,ATK,,NEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3429731e-05,1.5756025e-06,1.06662865e-05,1.3769262e-05,2.9787201e-05,1.0357118e-05,4.68735e-06,3.6067266e-07,2.4806005e-07,1.2531231e-06,5.104862e-08,2.1708162e-05,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.0120992015510323,low_error,1,1,4
Homophobie,60,pute et gouine cla meme,23,5,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,DFN,NEG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3904744e-05,1.58786e-06,1.0544937e-05,1.3354366e-05,2.9779672e-05,1.0109406e-05,4.7867193e-06,3.6313762e-07,2.4958587e-07,1.2604246e-06,5.142398e-08,2.2266007e-05,FN,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.1666666666666666,1.0,0.0142737164105379,medium_error,2,1,5,23,5,0,0,1,1,0,0,0,bully_support,OAG,victim,NCG,ATK,DFN,NEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3904744e-05,1.58786e-06,1.0544937e-05,1.3354366e-05,2.9779672e-05,1.0109406e-05,4.7867193e-06,3.6313762e-07,2.4958587e-07,1.2604246e-06,5.142398e-08,2.2266007e-05,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.0120992015510323,low_error,1,1,4
Homophobie,63,oui les garcons avec les filles pas filleet fille c degeulasse,62,11,0,0,0,1,0,0,0,bully_support,OAG,victim,DNG,ATK,DFN,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2952751e-05,1.9888187e-06,1.4565784e-05,1.4908651e-05,2.8119795e-05,1.2511023e-05,5.2782343e-06,4.3862954e-07,3.0667687e-07,1.6700916e-06,6.409346e-08,4.1105835e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0,62,11,0,0,0,1,0,0,0,bully_support,OAG,victim,DNG,ATK,DFN,NEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2952751e-05,1.9888187e-06,1.4565784e-05,1.4908651e-05,2.8119795e-05,1.2511023e-05,5.2782343e-06,4.3862954e-07,3.0667687e-07,1.6700916e-06,6.409346e-08,4.1105835e-05,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.0120992015510323,low_error,1,1,4
Homophobie,81,ftg tu vas kiffer,17,4,0,0,0,0,1,1,0,bully_support,OAG,victim,OTH,ATK,CNS,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00030415363,5.3130123e-05,0.0004522439,0.00013085699,8.99861e-05,3.7607853e-05,0.00010615195,3.8990606e-06,1.8788907e-05,1.6481821e-05,1.2107013e-06,0.99911207,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,2,0.1666666666666666,1.0,0.0186067022487527,medium_error,1,1,4,17,4,0,0,0,0,1,1,0,bully_support,OAG,victim,OTH,ATK,CNS,NEG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00030415363,5.3130123e-05,0.0004522439,0.00013085699,8.99861e-05,3.7607853e-05,0.00010615195,3.8990606e-06,1.8788907e-05,1.6481821e-05,1.2107013e-06,0.99911207,FN,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,FP,3,0.25,1.0,0.051214121211192,medium_error,2,2,6
Homophobie,92," si vous ne disiez pas n'importe quoi aussi,  les gens seraient peut-êtr eun peu avec vous",90,16,0,0,0,1,0,0,0,victim,OAG,bully_support,OTH,DFN,GSL,NEG,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5475725e-05,2.370759e-06,1.4401335e-05,1.9131507e-05,2.8404029e-05,1.30766175e-05,6.170711e-06,5.4884447e-07,3.928581e-07,1.9033519e-06,8.103192e-08,3.8782335e-05,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FN,2,0.1666666666666666,1.0,0.0186067022487527,medium_error,2,1,5,90,16,0,0,0,1,0,0,0,victim,OAG,bully_support,OTH,DFN,GSL,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5475725e-05,2.370759e-06,1.4401335e-05,1.9131507e-05,2.8404029e-05,1.30766175e-05,6.170711e-06,5.4884447e-07,3.928581e-07,1.9033519e-06,8.103192e-08,3.8782335e-05,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.0033377107726985,low_error,1,1,4
Homophobie,93,ptddddrrrrrrr mais la blague,28,4,0,0,0,1,1,1,0,bully_support,CAG,victim,OTH,ATK,DFN,NEG,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.95218784,0.0018383345,0.0035432996,0.0010036248,0.0026846996,0.00036825912,2.4710296e-05,0.00010836261,0.0006465036,6.676362e-05,3.564765e-05,0.026131805,OK,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,0.5,0.0357523662399554,low_error,2,1,5,28,4,0,0,0,1,1,1,0,bully_support,CAG,victim,OTH,ATK,DFN,NEG,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.95218784,0.0018383345,0.0035432996,0.0010036248,0.0026846996,0.00036825912,2.4710296e-05,0.00010836261,0.0006465036,6.676362e-05,3.564765e-05,0.026131805,FP,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.1666666666666666,1.0,0.035602248242118,medium_error,1,1,4
Homophobie,97,on va pas de sa iciiiii merde,29,7,0,0,0,0,0,0,1,bully_support,OAG,victim,OTH,ATK,DFN,NEG,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.995001,0.001997508,0.0015812147,0.0010297329,0.0023325235,0.00033515258,2.544429e-05,0.00010696281,0.0005725076,8.615046e-05,3.36131e-05,0.0066592563,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,1,1,4,29,7,0,0,0,0,0,0,1,bully_support,OAG,victim,OTH,ATK,DFN,NEG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.995001,0.001997508,0.0015812147,0.0010297329,0.0023325235,0.00033515258,2.544429e-05,0.00010696281,0.0005725076,8.615046e-05,3.36131e-05,0.0066592563,FP,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.0033377107726985,low_error,0,0,0
Homophobie,102,c'est les homophobes qu'on dégage pas nous,42,7,0,0,0,1,0,0,0,victim,OAG,bully,NCG,DFN,,NEG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.43024394,0.0005843811,0.00051318185,0.00030286913,0.00026353414,0.0001180048,9.2848226e-05,2.410323e-05,0.0002228426,2.0746831e-05,8.735051e-06,0.99941576,FN,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,3,0.25,1.0,0.0300985342544526,medium_error,2,2,6,42,7,0,0,0,1,0,0,0,victim,OAG,bully,NCG,DFN,,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.43024394,0.0005843811,0.00051318185,0.00030286913,0.00026353414,0.0001180048,9.2848226e-05,2.410323e-05,0.0002228426,2.0746831e-05,8.735051e-06,0.99941576,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,1,0.0833333333333333,1.0,0.0156118729690739,low_error,0,0,0
Obésité,9,Oe pk tu parles,15,4,0,0,0,1,0,0,1,bully_support,OAG,victim_support,OTH,ATK,DFN,NEG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2567118e-05,1.499607e-06,9.0657295e-06,1.48584895e-05,2.4672174e-05,9.15935e-06,4.401722e-06,3.296576e-07,2.4454985e-07,1.1299819e-06,4.5821256e-08,3.3429387e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FN,1,0.0833333333333333,1.0,0.0158248178439146,low_error,1,1,3,15,4,0,0,0,1,0,0,1,bully_support,OAG,victim_support,OTH,ATK,DFN,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2567118e-05,1.499607e-06,9.0657295e-06,1.48584895e-05,2.4672174e-05,9.15935e-06,4.401722e-06,3.296576e-07,2.4454985e-07,1.1299819e-06,4.5821256e-08,3.3429387e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Obésité,28,en quoi c drole,15,4,0,0,0,0,0,0,0,victim_support,NAG,,,DFN,ATK,NEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.389097e-05,4.748331e-05,0.8939162,0.0021573624,0.01296169,0.001186584,0.00013890752,3.1329288e-05,0.00017987633,0.00020403985,6.537931e-06,0.018678315,OK,OK,FP,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.0357523662399554,low_error,0,0,0,15,4,0,0,0,0,0,0,0,victim_support,NAG,,,DFN,ATK,NEU,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.389097e-05,4.748331e-05,0.8939162,0.0021573624,0.01296169,0.001186584,0.00013890752,3.1329288e-05,0.00017987633,0.00020403985,6.537931e-06,0.018678315,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,1,1,4
Obésité,41,c sur que avec ton 4 de moyenne tu vas pas aller loin julien,60,14,0,1,0,1,0,0,0,victim_support,OAG,bully_support,OTH,DFN,ATK,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3314997e-05,5.4982543e-06,2.2226634e-05,2.1419806e-05,2.8293942e-05,2.2669e-05,1.0447084e-05,1.0959474e-06,8.730459e-07,3.7727223e-06,1.8216001e-07,0.0005591708,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.002781884404838,low_error,1,1,4,60,14,0,1,0,1,0,0,0,victim_support,OAG,bully_support,OTH,DFN,ATK,NEG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.3314997e-05,5.4982543e-06,2.2226634e-05,2.1419806e-05,2.8293942e-05,2.2669e-05,1.0447084e-05,1.0959474e-06,8.730459e-07,3.7727223e-06,1.8216001e-07,0.0005591708,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FN,1,0.0833333333333333,1.0,0.0156118729690739,low_error,1,1,3
Obésité,48,bah revois tes sources tdc,26,5,0,0,1,1,1,1,0,bully_support,OAG,conciliator,DNG,ATK,DFN,NEG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27822195e-05,1.7783966e-06,1.1791174e-05,1.3656537e-05,2.7355512e-05,1.03637785e-05,5.203782e-06,4.0240008e-07,2.8542553e-07,1.4612674e-06,5.6994374e-08,3.524852e-05,FN,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.1666666666666666,1.0,0.0142737164105379,medium_error,2,1,5,26,5,0,0,1,1,1,1,0,bully_support,OAG,conciliator,DNG,ATK,DFN,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27822195e-05,1.7783966e-06,1.1791174e-05,1.3656537e-05,2.7355512e-05,1.03637785e-05,5.203782e-06,4.0240008e-07,2.8542553e-07,1.4612674e-06,5.6994374e-08,3.524852e-05,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.0833333333333333,1.0,0.0033377107726985,low_error,1,1,4
